call_index,decode_step,module,group,phase,token_count,module_type,latency_ms
0,,model.layers.0.self_attn.q_proj,self_attn.q_proj,prefill,16384,Linear,2.419840097427368
1,,model.layers.0.self_attn.k_proj,self_attn.k_proj,prefill,16384,Linear,2.4084479808807373
2,,model.layers.0.self_attn.v_proj,self_attn.v_proj,prefill,16384,Linear,2.411168098449707
3,,model.layers.0.self_attn.o_proj,self_attn.o_proj,prefill,16384,Linear,2.406208038330078
4,,model.layers.0.mlp.gate_proj,mlp.gate_proj,prefill,16384,Linear,6.121471881866455
5,,model.layers.0.mlp.up_proj,mlp.up_proj,prefill,16384,Linear,6.124576091766357
6,,model.layers.0.mlp.down_proj,mlp.down_proj,prefill,16384,Linear,6.41539192199707
7,,model.layers.1.self_attn.q_proj,self_attn.q_proj,prefill,16384,Linear,2.4148800373077393
8,,model.layers.1.self_attn.k_proj,self_attn.k_proj,prefill,16384,Linear,2.4209280014038086
9,,model.layers.1.self_attn.v_proj,self_attn.v_proj,prefill,16384,Linear,2.4197120666503906
10,,model.layers.1.self_attn.o_proj,self_attn.o_proj,prefill,16384,Linear,2.4186880588531494
11,,model.layers.1.mlp.gate_proj,mlp.gate_proj,prefill,16384,Linear,6.12278413772583
12,,model.layers.1.mlp.up_proj,mlp.up_proj,prefill,16384,Linear,6.1253437995910645
13,,model.layers.1.mlp.down_proj,mlp.down_proj,prefill,16384,Linear,6.416224002838135
14,,model.layers.2.self_attn.q_proj,self_attn.q_proj,prefill,16384,Linear,2.415616035461426
15,,model.layers.2.self_attn.k_proj,self_attn.k_proj,prefill,16384,Linear,2.419167995452881
16,,model.layers.2.self_attn.v_proj,self_attn.v_proj,prefill,16384,Linear,2.418720006942749
17,,model.layers.2.self_attn.o_proj,self_attn.o_proj,prefill,16384,Linear,2.4186880588531494
18,,model.layers.2.mlp.gate_proj,mlp.gate_proj,prefill,16384,Linear,6.123648166656494
19,,model.layers.2.mlp.up_proj,mlp.up_proj,prefill,16384,Linear,6.124544143676758
20,,model.layers.2.mlp.down_proj,mlp.down_proj,prefill,16384,Linear,6.416224002838135
21,,model.layers.3.self_attn.q_proj,self_attn.q_proj,prefill,16384,Linear,2.4107840061187744
22,,model.layers.3.self_attn.k_proj,self_attn.k_proj,prefill,16384,Linear,2.41923189163208
23,,model.layers.3.self_attn.v_proj,self_attn.v_proj,prefill,16384,Linear,2.419264078140259
24,,model.layers.3.self_attn.o_proj,self_attn.o_proj,prefill,16384,Linear,2.4185919761657715
25,,model.layers.3.mlp.gate_proj,mlp.gate_proj,prefill,16384,Linear,6.1233601570129395
26,,model.layers.3.mlp.up_proj,mlp.up_proj,prefill,16384,Linear,6.122496128082275
27,,model.layers.3.mlp.down_proj,mlp.down_proj,prefill,16384,Linear,6.415359973907471
28,,model.layers.4.self_attn.q_proj,self_attn.q_proj,prefill,16384,Linear,2.414975881576538
29,,model.layers.4.self_attn.k_proj,self_attn.k_proj,prefill,16384,Linear,2.4180800914764404
30,,model.layers.4.self_attn.v_proj,self_attn.v_proj,prefill,16384,Linear,2.4157440662384033
31,,model.layers.4.self_attn.o_proj,self_attn.o_proj,prefill,16384,Linear,2.421567916870117
32,,model.layers.4.mlp.gate_proj,mlp.gate_proj,prefill,16384,Linear,6.122399806976318
33,,model.layers.4.mlp.up_proj,mlp.up_proj,prefill,16384,Linear,6.121568202972412
34,,model.layers.4.mlp.down_proj,mlp.down_proj,prefill,16384,Linear,6.414656162261963
35,,model.layers.5.self_attn.q_proj,self_attn.q_proj,prefill,16384,Linear,2.413408041000366
36,,model.layers.5.self_attn.k_proj,self_attn.k_proj,prefill,16384,Linear,2.4179840087890625
37,,model.layers.5.self_attn.v_proj,self_attn.v_proj,prefill,16384,Linear,2.418560028076172
38,,model.layers.5.self_attn.o_proj,self_attn.o_proj,prefill,16384,Linear,2.4432640075683594
39,,model.layers.5.mlp.gate_proj,mlp.gate_proj,prefill,16384,Linear,6.185120105743408
40,,model.layers.5.mlp.up_proj,mlp.up_proj,prefill,16384,Linear,6.187295913696289
41,,model.layers.5.mlp.down_proj,mlp.down_proj,prefill,16384,Linear,6.484255790710449
42,,model.layers.6.self_attn.q_proj,self_attn.q_proj,prefill,16384,Linear,2.43887996673584
43,,model.layers.6.self_attn.k_proj,self_attn.k_proj,prefill,16384,Linear,2.4459519386291504
44,,model.layers.6.self_attn.v_proj,self_attn.v_proj,prefill,16384,Linear,2.432960033416748
45,,model.layers.6.self_attn.o_proj,self_attn.o_proj,prefill,16384,Linear,2.420448064804077
46,,model.layers.6.mlp.gate_proj,mlp.gate_proj,prefill,16384,Linear,6.168831825256348
47,,model.layers.6.mlp.up_proj,mlp.up_proj,prefill,16384,Linear,6.185984134674072
48,,model.layers.6.mlp.down_proj,mlp.down_proj,prefill,16384,Linear,6.483007907867432
49,,model.layers.7.self_attn.q_proj,self_attn.q_proj,prefill,16384,Linear,2.4409279823303223
50,,model.layers.7.self_attn.k_proj,self_attn.k_proj,prefill,16384,Linear,2.4433600902557373
51,,model.layers.7.self_attn.v_proj,self_attn.v_proj,prefill,16384,Linear,2.4443840980529785
52,,model.layers.7.self_attn.o_proj,self_attn.o_proj,prefill,16384,Linear,2.4185280799865723
53,,model.layers.7.mlp.gate_proj,mlp.gate_proj,prefill,16384,Linear,6.119487762451172
54,,model.layers.7.mlp.up_proj,mlp.up_proj,prefill,16384,Linear,6.123551845550537
55,,model.layers.7.mlp.down_proj,mlp.down_proj,prefill,16384,Linear,6.412511825561523
56,,model.layers.8.self_attn.q_proj,self_attn.q_proj,prefill,16384,Linear,2.417664051055908
57,,model.layers.8.self_attn.k_proj,self_attn.k_proj,prefill,16384,Linear,2.4187839031219482
58,,model.layers.8.self_attn.v_proj,self_attn.v_proj,prefill,16384,Linear,2.4208641052246094
59,,model.layers.8.self_attn.o_proj,self_attn.o_proj,prefill,16384,Linear,2.415616035461426
60,,model.layers.8.mlp.gate_proj,mlp.gate_proj,prefill,16384,Linear,6.121312141418457
61,,model.layers.8.mlp.up_proj,mlp.up_proj,prefill,16384,Linear,6.1254401206970215
62,,model.layers.8.mlp.down_proj,mlp.down_proj,prefill,16384,Linear,6.414527893066406
63,,model.layers.9.self_attn.q_proj,self_attn.q_proj,prefill,16384,Linear,2.4143359661102295
64,,model.layers.9.self_attn.k_proj,self_attn.k_proj,prefill,16384,Linear,2.418560028076172
65,,model.layers.9.self_attn.v_proj,self_attn.v_proj,prefill,16384,Linear,2.417504072189331
66,,model.layers.9.self_attn.o_proj,self_attn.o_proj,prefill,16384,Linear,2.420351982116699
67,,model.layers.9.mlp.gate_proj,mlp.gate_proj,prefill,16384,Linear,6.120512008666992
68,,model.layers.9.mlp.up_proj,mlp.up_proj,prefill,16384,Linear,6.123231887817383
69,,model.layers.9.mlp.down_proj,mlp.down_proj,prefill,16384,Linear,6.415999889373779
70,,model.layers.10.self_attn.q_proj,self_attn.q_proj,prefill,16384,Linear,2.425920009613037
71,,model.layers.10.self_attn.k_proj,self_attn.k_proj,prefill,16384,Linear,2.4395198822021484
72,,model.layers.10.self_attn.v_proj,self_attn.v_proj,prefill,16384,Linear,2.441279888153076
73,,model.layers.10.self_attn.o_proj,self_attn.o_proj,prefill,16384,Linear,2.445120096206665
74,,model.layers.10.mlp.gate_proj,mlp.gate_proj,prefill,16384,Linear,6.185952186584473
75,,model.layers.10.mlp.up_proj,mlp.up_proj,prefill,16384,Linear,6.188223838806152
76,,model.layers.10.mlp.down_proj,mlp.down_proj,prefill,16384,Linear,6.482111930847168
77,,model.layers.11.self_attn.q_proj,self_attn.q_proj,prefill,16384,Linear,2.443135976791382
78,,model.layers.11.self_attn.k_proj,self_attn.k_proj,prefill,16384,Linear,2.444063901901245
