point_index,quality_ratio,predicted_quality_cost,raw_predicted_linear_ms,raw_linear_speedup_vs_dense,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,policy_json
0,0.0,0.0,1004.2719049031714,1.0,128,0,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_only/pareto/policies/point_000.json
1,0.001,0.0006744139183595603,985.8366650178998,1.0187000956035013,126,2,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_only/pareto/policies/point_001.json
2,0.001584893192461114,0.0012921617533927067,976.619045075264,1.0283148889706286,125,3,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_only/pareto/policies/point_002.json
3,0.0025118864315095794,0.001945365917610726,967.4014251326282,1.0381129061966063,124,4,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_only/pareto/policies/point_003.json
4,0.003981071705534973,0.0031727969783212065,948.9661852473569,1.0582799687866629,122,6,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_only/pareto/policies/point_004.json
5,0.00630957344480193,0.005666021297965578,912.0957054768137,1.101059788871795,118,10,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_only/pareto/policies/point_005.json
6,0.01,0.008931037920507074,860.8412192062199,1.1666168888023376,112,15,0,1,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_only/pareto/policies/point_006.json
7,0.01584893192461114,0.01266675681372652,819.4618969022183,1.2255260539868706,107,20,0,1,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_only/pareto/policies/point_007.json
8,0.025118864315095808,0.018571412750064503,750.2297798945904,1.3386190895331758,100,27,0,1,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_only/pareto/policies/point_008.json
9,0.039810717055349734,0.030122382475518284,641.0178847129945,1.5666831282762386,81,46,0,1,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_only/pareto/policies/point_009.json
10,0.06309573444801933,0.04712176284005847,534.3855469344776,1.879302145546814,52,70,5,1,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_only/pareto/policies/point_010.json
11,0.1,0.07783351747728741,486.026475377665,2.0662905330883583,26,92,7,3,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_only/pareto/policies/point_011.json
12,0.15848931924611143,0.13144091936478483,466.00184114523944,2.155081410054276,0,111,12,5,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_only/pareto/policies/point_012.json
13,0.25118864315095824,0.234741047663463,439.6047503115226,2.2844882913378477,1,92,29,6,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_only/pareto/policies/point_013.json
14,0.3981071705534973,0.39996897697875383,408.7035212508456,2.4572137324131105,0,61,53,14,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_only/pareto/policies/point_014.json
15,0.6309573444801936,0.6558781421189254,375.4861728196471,2.6745909106632846,0,22,62,44,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_only/pareto/policies/point_015.json
16,1.0,0.8269862933800046,357.99210019841007,2.8052906875502934,0,0,64,64,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_only/pareto/policies/point_016.json
